"Model Identifier","Model Name"
"Mac16,8","MacBook Pro (14-inch, M4 Pro, Nov 2024)"
"Mac16,9","Mac Studio (M4 Max, 2025)"
"MacBook1,1","MacBook (13-inch, Mid 2006)"
"MacBook10,1","MacBook (Retina, 12-inch, 2017)"
"MacBook2,1","MacBook (13-inch, Late 2006) OR MacBook (13-inch, Mid 2007)"
"MacBook3,1","MacBook (13-inch, Late 2007)"
"MacBook4,1","MacBook (13-inch, Early 2008) OR MacBook (13-inch, Late 2008)"
"MacBook5,1","MacBook (13-inch, Aluminum, Late 2008)"
"MacBook5,2","MacBook (13-inch, Early 2009) OR MacBook (13-inch, Mid 2009)"
"MacBook6,1","MacBook (13-inch, Late 2009)"
"MacBook7,1","MacBook (13-inch, Mid 2010)"
"MacBook8,1","MacBook (Retina, 12-inch, Early 2015)"
"MacBook9,1","MacBook (Retina, 12-inch, Early 2016)"
"MacBookAir1,1","MacBook Air (Early 2008)"
"MacBookAir10,1","MacBook Air (M1, 2020)"
"MacBookAir2,1","MacBook Air (Late 2008) OR MacBook Air (Mid 2009)"
"MacBookAir3,1","MacBook Air (11-inch, Late 2010)"
"MacBookAir3,2","MacBook Air (13-inch, Late 2010)"
"MacBookAir4,1","MacBook Air (11-inch, Mid 2011)"
"MacBookAir4,2","MacBook Air (13-inch, Mid 2011)"
"MacBookAir5,1","MacBook Air (11-inch, Mid 2012)"
"MacBookAir5,2","MacBook Air (13-inch, Mid 2012)"
"MacBookAir6,1","MacBook Air (11-inch, Mid 2013) OR MacBook Air (11-inch, Early 2014)"
"MacBookAir6,2","MacBook Air (13-inch, Mid 2013) OR MacBook Air (13-inch, Early 2014)"
"MacBookAir7,1","MacBook Air (11-inch, Early 2015)"
"MacBookAir7,2","MacBook Air (13-inch, Early 2015) OR MacBook Air (13-inch, 2017)"
"MacBookAir8,1","MacBook Air (Retina, 13-inch, 2018)"
"MacBookAir8,2","MacBook Air (Retina, 13-inch, 2019)"
"MacBookAir9,1","MacBook Air (Retina, 13-inch, 2020)"
"MacBookPro1,1","MacBook Pro (15-inch, Early 2006)"
"MacBookPro1,2","MacBook Pro (17-inch, Early 2006)"
"MacBookPro10,1","MacBook Pro (Retina, 15-inch, Early 2013) OR MacBook Pro (Retina, 15-inch, Mid 2012)"
"MacBookPro10,2","MacBook Pro (Retina, 13-inch, Early 2013) OR MacBook Pro (Retina, 13-inch, Late 2012)"
"MacBookPro11,1","MacBook Pro (Retina, 13-inch, Late 2013) OR MacBook Pro (Retina, 13-inch, Mid 2014)"
"MacBookPro11,2","MacBook Pro (Retina, 15-inch, Late 2013, Integrated graphics) OR MacBook Pro (Retina, 15-inch, Mid 2014, Integrated graphics)"
"MacBookPro11,3","MacBook Pro (Retina, 15-inch, Late 2013, Dedicated graphics) OR MacBook Pro (Retina, 15-inch, Mid 2014, Dedicated graphics)"
"MacBookPro11,4","MacBook Pro (Retina, 15-inch, Mid 2015, Integrated graphics)"
"MacBookPro11,5","MacBook Pro (Retina, 15-inch, Mid 2015, Dedicated graphics)"
"MacBookPro12,1","MacBook Pro (Retina, 13-inch, Early 2015)"
"MacBookPro13,1","MacBook Pro (13-inch, 2016, Two Thunderbolt 3 ports)"
"MacBookPro13,2","MacBook Pro (13-inch, 2016, Four Thunderbolt 3 ports)"
"MacBookPro13,3","MacBook Pro (15-inch, 2016)"
"MacBookPro14,1","MacBook Pro (13-inch, 2017, Two Thunderbolt 3 ports)"
"MacBookPro14,2","MacBook Pro (13-inch, 2017, Four Thunderbolt 3 ports)"
"MacBookPro14,3","MacBook Pro (15-inch, 2017)"
"MacBookPro15,1","MacBook Pro (15-inch, Mid 2018) OR MacBook Pro (15-inch, 2019)"
"MacBookPro15,2","MacBook Pro (13-inch, 2018) OR MacBook Pro (13-inch, 2019, Four Thunderbolt 3 ports)"
"MacBookPro15,3","MacBook Pro (15-inch, Late 2018, Radeon Pro Vega Graphics) OR MacBook Pro (15-inch, 2019, Radeon Pro Vega Graphics)"
"MacBookPro15,4","MacBook Pro (13-inch, 2019, Two Thunderbolt 3 ports)"
"MacBookPro16,1","MacBook Pro (16-inch, 2019)"
"MacBookPro16,2","MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports)"
"MacBookPro16,3","MacBook Pro (13-inch, 2020, Two Thunderbolt 3 ports)"
"MacBookPro16,4","MacBook Pro (16-inch, 2019, Radeon Pro 5600M Graphics)"
"MacBookPro17,1","MacBook Pro (13-inch, M1, 2020)"
"MacBookPro18,1","MacBook Pro (16-inch, M1 Pro, 2021)"
"MacBookPro18,2","MacBook Pro (16-inch, M1 Max, 2021)"
"MacBookPro18,3","MacBook Pro (14-inch, M1 Pro, 2021)"
"MacBookPro18,4","MacBook Pro (14-inch, M1 Max, 2021)"
"MacBookPro2,1","MacBook Pro (17-inch, Late 2006)"
"MacBookPro2,2","MacBook Pro (15-inch, Late 2006)"
"MacBookPro3,1","MacBook Pro (15-inch, Late 2007) OR MacBook Pro (15-inch, Mid 2007) OR MacBook Pro (17-inch, Late 2007) OR MacBook Pro (17-inch, Mid 2007)"
"MacBookPro4,1","MacBook Pro (15-inch, Early 2008) OR MacBook Pro (17-inch, Early 2008)"
"MacBookPro5,1","MacBook Pro (15-inch, Late 2008) OR MacBook Pro (15-inch, Early 2009)"
"MacBookPro5,2","MacBook Pro (17-inch, Early 2009) OR MacBook Pro (17-inch, Mid 2009)"
"MacBookPro5,3","MacBook Pro (15-inch, Mid 2009, Dedicated Graphics)"
"MacBookPro5,4","MacBook Pro (15-inch, Mid 2009, Integrated Graphics)"
"MacBookPro5,5","MacBook Pro (13-inch, Mid 2009)"
"MacBookPro6,1","MacBook Pro (17-inch, Mid 2010)"
"MacBookPro6,2","MacBook Pro (15-inch, Mid 2010)"
"MacBookPro7,1","MacBook Pro (13-inch, Mid 2010)"
"MacBookPro8,1","MacBook Pro (13-inch, Early 2011) OR MacBook Pro (13-inch, Late 2011)"
"MacBookPro8,2","MacBook Pro (15-inch, Early 2011) OR MacBook Pro (15-inch, Late 2011)"
"MacBookPro8,3","MacBook Pro (17-inch, Early 2011) OR MacBook Pro (17-inch, Late 2011)"
"MacBookPro9,1","MacBook Pro (15-inch, Mid 2012)"
"MacBookPro9,2","MacBook Pro (13-inch, Mid 2012)"
"MacPro1,1","Mac Pro (Mid 2006)"
"MacPro2,1","Mac Pro (Early 2007)"
"MacPro3,1","Mac Pro (Early 2008)"
"MacPro4,1","Mac Pro (Early 2009)"
"MacPro5,1","Mac Pro (Late 2010) OR Mac Pro (Mid 2012) OR Mac Pro Server (Mid 2010) OR Mac Pro Server (Mid 2012)"
"MacPro6,1","Mac Pro (Late 2013)"
"MacPro7,1","Mac Pro (Rack, 2019) OR Mac Pro (2019)"
"Macmini1,1","Mac mini (Early 2006) OR Mac mini (Late 2006)"
"Macmini10,1","Unreleased Mac mini (M1 Pro)"
"Macmini2,1","Mac mini (Mid 2007)"
"Macmini3,1","Mac mini (Early 2009) OR Mac mini (Late 2009) OR Mac mini (Mac OS X Server)"
"Macmini4,1","Mac mini Server (Mid 2010) OR Mac mini (Mid 2010)"
"Macmini5,1","Mac mini (Mid 2011, Integrated graphics)"
"Macmini5,2","Mac mini (Mid 2011, Dedicated graphics)"
"Macmini5,3","Mac mini (Mid 2011, Server)"
"Macmini6,1","Mac mini (Late 2012, Core i5)"
"Macmini6,2","Mac mini Server (Late 2012) OR Mac mini (Late 2012, Core i7)"
"Macmini6,3","Unreleased Mac mini"
"Macmini7,1","Mac mini (Late 2014)"
"Macmini7,2","Unreleased Mac mini"
"Macmini7,3","Unreleased Mac mini"
"Macmini8,1","Mac mini (Late 2018)"
"Macmini8,2","Unreleased Mac mini"
"Macmini9,1","Mac mini (M1, Late 2020)"
"PowerBeats3,1","Powerbeats³ Wireless Balmain Edition OR Powerbeats³ Wireless"
"PowerBeats4,1","Powerbeats (4th generation)"
"PowerBook1,1","PowerBook G3 (Bronze Keyboard)"
"PowerBook2,1","iBook SE OR iBook"
"PowerBook2,2","iBook (FireWire)"
"PowerBook3,1","PowerBook (FireWire)"
"PowerBook3,2","PowerBook G4"
"PowerBook3,3","PowerBook G4 (Gigabit Ethernet)"
"PowerBook3,4","PowerBook G4"
"PowerBook3,5","PowerBook G4 (1GHz/867MHz)"
"PowerBook4,1","iBook (Late 2001) OR iBook (Dual USB)"
"PowerBook4,2","iBook (14.1-inch)"
